Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
ARC	WCA	0.6	15	84.04255319	0	0
ARC	Limbo	0.6	15	85.41033435	0	0
ARC	ACDC	0.6	15	85.16228748	0.066666667	0.25
ARC	WCA	0.8	15	84.04255319	0	0
ARC	Limbo	0.8	15	85.41033435	0	0
ARC	ACDC	0.8	15	85.16228748	0.066666667	0.25
WCA	Limbo	N/A	16	81.21212121	0	0
WCA	ACDC	N/A	16	89.19753086	0.0625	0.25
Limbo	ACDC	N/A	16	80.70987654	0	0
ARC	WCA	0.2	16	83.48484848	0	0
ARC	Limbo	0.2	16	83.18181818	0.0625	0.0625
ARC	ACDC	0.2	16	85.18518519	0.0625	0.25
ARC	WCA	0.4	16	84.54545455	0	0
ARC	Limbo	0.4	16	84.54545455	0	0
ARC	ACDC	0.4	16	85.33950617	0.0625	0.25
ARC	WCA	0.6	16	84.24242424	0	0
ARC	Limbo	0.6	16	84.39393939	0	0
ARC	ACDC	0.6	16	85.0308642	0.0625	0.25
ARC	WCA	0.8	16	84.24242424	0	0
ARC	Limbo	0.8	16	84.39393939	0	0
ARC	ACDC	0.8	16	85.0308642	0.0625	0.25
WCA	Limbo	N/A	17	81.26888218	0	0
WCA	ACDC	N/A	17	88.90600924	0.058823529	0.25
Limbo	ACDC	N/A	17	80.58551618	0	0
ARC	WCA	0.2	17	83.6858006	0	0
ARC	Limbo	0.2	17	82.62839879	0.058823529	0.058823529
ARC	ACDC	0.2	17	85.05392912	0.058823529	0.25
ARC	WCA	0.4	17	84.59214502	0	0
ARC	Limbo	0.4	17	83.83685801	0	0
ARC	ACDC	0.4	17	84.4375963	0.058823529	0.25
ARC	WCA	0.6	17	84.44108761	0	0
ARC	Limbo	0.6	17	84.44108761	0	0
ARC	ACDC	0.6	17	84.89984592	0.058823529	0.25
ARC	WCA	0.8	17	84.44108761	0	0
ARC	Limbo	0.8	17	84.44108761	0	0
ARC	ACDC	0.8	17	84.89984592	0.058823529	0.25
WCA	Limbo	N/A	18	81.47590361	0	0
WCA	ACDC	N/A	18	88.92307692	0.055555556	0.25
Limbo	ACDC	N/A	18	80.15384615	0	0
ARC	WCA	0.2	18	83.88554217	0	0
ARC	Limbo	0.2	18	82.37951807	0.055555556	0.055555556
ARC	ACDC	0.2	18	84.92307692	0.055555556	0.25
ARC	WCA	0.4	18	84.78915663	0	0
ARC	Limbo	0.4	18	83.88554217	0	0
ARC	ACDC	0.4	18	84.30769231	0.055555556	0.25
ARC	WCA	0.6	18	84.63855422	0	0
ARC	Limbo	0.6	18	84.48795181	0	0
ARC	ACDC	0.6	18	84.61538462	0.055555556	0.25
ARC	WCA	0.8	18	84.63855422	0	0
ARC	Limbo	0.8	18	84.48795181	0	0
ARC	ACDC	0.8	18	84.61538462	0.055555556	0.25
WCA	Limbo	N/A	19	81.53153153	0	0
WCA	ACDC	N/A	19	88.78648233	0.052631579	0.25
Limbo	ACDC	N/A	19	80.03072197	0	0
ARC	WCA	0.2	19	84.08408408	0	0
ARC	Limbo	0.2	19	82.43243243	0.052631579	0.052631579
ARC	ACDC	0.2	19	84.48540707	0.052631579	0.25
ARC	WCA	0.4	19	85.13513514	0	0
ARC	Limbo	0.4	19	84.23423423	0	0
ARC	ACDC	0.4	19	83.25652842	0.052631579	0.25
ARC	WCA	0.6	19	84.83483483	0	0
ARC	Limbo	0.6	19	84.38438438	0	0
ARC	ACDC	0.6	19	84.48540707	0.052631579	0.25
ARC	WCA	0.8	19	84.83483483	0	0
ARC	Limbo	0.8	19	84.38438438	0	0
ARC	ACDC	0.8	19	84.48540707	0.052631579	0.25
WCA	Limbo	N/A	20	81.58682635	0	0
WCA	ACDC	N/A	20	88.65030675	0.05	0.25
Limbo	ACDC	N/A	20	79.90797546	0	0
ARC	WCA	0.2	20	84.13173653	0	0
ARC	Limbo	0.2	20	82.03592814	0.05	0.05
ARC	ACDC	0.2	20	82.51533742	0	0
ARC	WCA	0.4	20	85.17964072	0	0
ARC	Limbo	0.4	20	84.13173653	0	0
ARC	ACDC	0.4	20	83.12883436	0.05	0.25
ARC	WCA	0.6	20	85.02994012	0	0
ARC	Limbo	0.6	20	83.98203593	0	0
ARC	ACDC	0.6	20	82.82208589	0.05	0.25
ARC	WCA	0.8	20	85.02994012	0	0
ARC	Limbo	0.8	20	83.98203593	0	0
ARC	ACDC	0.8	20	82.82208589	0.05	0.25
WCA	Limbo	N/A	21	81.64179104	0	0
WCA	ACDC	N/A	21	88.51454824	0.047619048	0.25
Limbo	ACDC	N/A	21	79.7856049	0	0
ARC	WCA	0.2	21	84.17910448	0	0
ARC	Limbo	0.2	21	81.94029851	0.047619048	0.047619048
ARC	ACDC	0.2	21	82.38897397	0	0
ARC	WCA	0.4	21	85.2238806	0	0
ARC	Limbo	0.4	21	83.58208955	0	0
ARC	ACDC	0.4	21	82.23583461	0.047619048	0.25
ARC	WCA	0.6	21	85.07462687	0	0
ARC	Limbo	0.6	21	84.17910448	0	0
ARC	ACDC	0.6	21	82.69525268	0.047619048	0.25
ARC	WCA	0.8	21	85.07462687	0	0
ARC	Limbo	0.8	21	84.17910448	0	0
ARC	ACDC	0.8	21	82.69525268	0.047619048	0.25
WCA	Limbo	N/A	22	81.69642857	0	0
WCA	ACDC	N/A	22	88.22629969	0.045454545	0.25
Limbo	ACDC	N/A	22	79.66360856	0	0
ARC	WCA	0.2	22	84.22619048	0	0
ARC	Limbo	0.2	22	81.99404762	0.045454545	0.045454545
ARC	ACDC	0.2	22	82.26299694	0	0
ARC	WCA	0.4	22	85.11904762	0	0
ARC	Limbo	0.4	22	83.92857143	0.045454545	0.045454545
ARC	ACDC	0.4	22	81.80428135	0.045454545	0.25
ARC	WCA	0.6	22	85.26785714	0	0
ARC	Limbo	0.6	22	84.375	0	0
ARC	ACDC	0.6	22	82.56880734	0.045454545	0.25
ARC	WCA	0.8	22	85.26785714	0	0
ARC	Limbo	0.8	22	84.375	0	0
ARC	ACDC	0.8	22	82.56880734	0.045454545	0.25
WCA	Limbo	N/A	23	81.75074184	0	0
WCA	ACDC	N/A	23	88.09160305	0.043478261	0.25
Limbo	ACDC	N/A	23	79.54198473	0	0
