Algorithm 1,Algorithm 2,Alpha,K-Value,A2A Score,CVG (1 -> 2),CVG (2 -> 1)
ARC,WCA,0.4,21,85.22388059701493,0.0,0.0
ARC,Limbo,0.4,21,83.5820895522388,0.0,0.0
ARC,ACDC,0.4,21,82.23583460949465,0.047619047619047616,0.25
ARC,WCA,0.6,21,85.07462686567165,0.0,0.0
ARC,Limbo,0.6,21,84.17910447761194,0.0,0.0
ARC,ACDC,0.6,21,82.69525267993875,0.047619047619047616,0.25
ARC,WCA,0.8,21,85.07462686567165,0.0,0.0
ARC,Limbo,0.8,21,84.17910447761194,0.0,0.0
ARC,ACDC,0.8,21,82.69525267993875,0.047619047619047616,0.25
WCA,Limbo,N/A,22,81.69642857142857,0.0,0.0
WCA,ACDC,N/A,22,88.2262996941896,0.045454545454545456,0.25
Limbo,ACDC,N/A,22,79.66360856269114,0.0,0.0
ARC,WCA,0.2,22,84.22619047619048,0.0,0.0
ARC,Limbo,0.2,22,81.99404761904762,0.045454545454545456,0.045454545454545456
ARC,ACDC,0.2,22,82.26299694189603,0.0,0.0
ARC,WCA,0.4,22,85.11904761904762,0.0,0.0
ARC,Limbo,0.4,22,83.92857142857143,0.045454545454545456,0.045454545454545456
ARC,ACDC,0.4,22,81.80428134556574,0.045454545454545456,0.25
ARC,WCA,0.6,22,85.26785714285714,0.0,0.0
ARC,Limbo,0.6,22,84.375,0.0,0.0
ARC,ACDC,0.6,22,82.56880733944953,0.045454545454545456,0.25
ARC,WCA,0.8,22,85.26785714285714,0.0,0.0
ARC,Limbo,0.8,22,84.375,0.0,0.0
ARC,ACDC,0.8,22,82.56880733944953,0.045454545454545456,0.25
WCA,Limbo,N/A,23,81.75074183976261,0.0,0.0
WCA,ACDC,N/A,23,88.09160305343512,0.043478260869565216,0.25
Limbo,ACDC,N/A,23,79.54198473282443,0.0,0.0
ARC,WCA,0.2,23,84.27299703264094,0.0,0.0
ARC,Limbo,0.2,23,82.34421364985162,0.043478260869565216,0.043478260869565216
ARC,ACDC,0.2,23,81.98473282442748,0.0,0.0
ARC,WCA,0.4,23,85.31157270029674,0.0,0.0
ARC,Limbo,0.4,23,83.53115727002968,0.043478260869565216,0.043478260869565216
ARC,ACDC,0.4,23,79.69465648854963,0.043478260869565216,0.25
ARC,WCA,0.6,23,85.31157270029674,0.0,0.0
ARC,Limbo,0.6,23,84.1246290801187,0.0,0.0
ARC,ACDC,0.6,23,82.44274809160305,0.043478260869565216,0.25
ARC,WCA,0.8,23,85.31157270029674,0.0,0.0
ARC,Limbo,0.8,23,84.1246290801187,0.0,0.0
ARC,ACDC,0.8,23,82.44274809160305,0.043478260869565216,0.25
WCA,Limbo,N/A,24,81.80473372781066,0.041666666666666664,0.041666666666666664
WCA,ACDC,N/A,24,87.8048780487805,0.041666666666666664,0.25
Limbo,ACDC,N/A,24,79.42073170731707,0.0,0.0
ARC,WCA,0.2,24,84.46745562130178,0.0,0.0
ARC,Limbo,0.2,24,82.39644970414201,0.041666666666666664,0.041666666666666664
ARC,ACDC,0.2,24,81.85975609756098,0.0,0.0
ARC,WCA,0.4,24,81.95266272189349,0.0,0.0
ARC,Limbo,0.4,24,83.72781065088756,0.041666666666666664,0.041666666666666664
ARC,ACDC,0.4,24,81.09756097560977,0.041666666666666664,0.25
ARC,WCA,0.6,24,85.05917159763314,0.0,0.0
ARC,Limbo,0.6,24,84.46745562130178,0.041666666666666664,0.041666666666666664
ARC,ACDC,0.6,24,82.01219512195121,0.041666666666666664,0.25
ARC,WCA,0.8,24,85.05917159763314,0.0,0.0
ARC,Limbo,0.8,24,84.46745562130178,0.041666666666666664,0.041666666666666664
ARC,ACDC,0.8,24,82.01219512195121,0.041666666666666664,0.25
WCA,Limbo,N/A,25,81.85840707964603,0.04,0.04
WCA,ACDC,N/A,25,87.67123287671232,0.04,0.25
Limbo,ACDC,N/A,25,79.29984779299848,0.0,0.0
ARC,WCA,0.2,25,84.66076696165192,0.04,0.04
ARC,Limbo,0.2,25,82.44837758112095,0.04,0.04
ARC,ACDC,0.2,25,81.7351598173516,0.0,0.0
ARC,WCA,0.4,25,82.15339233038348,0.0,0.0
ARC,Limbo,0.4,25,83.92330383480827,0.04,0.04
ARC,ACDC,0.4,25,80.97412480974124,0.04,0.25
ARC,WCA,0.6,25,85.39823008849558,0.0,0.0
ARC,Limbo,0.6,25,83.6283185840708,0.04,0.04
ARC,ACDC,0.6,25,79.60426179604262,0.04,0.25
ARC,WCA,0.8,25,85.39823008849558,0.0,0.0
ARC,Limbo,0.8,25,83.6283185840708,0.04,0.04
ARC,ACDC,0.8,25,79.60426179604262,0.04,0.25
WCA,Limbo,N/A,26,81.91176470588235,0.038461538461538464,0.038461538461538464
WCA,ACDC,N/A,26,87.38601823708207,0.038461538461538464,0.25
Limbo,ACDC,N/A,26,79.17933130699089,0.0,0.0
ARC,WCA,0.2,26,84.70588235294117,0.038461538461538464,0.038461538461538464
ARC,Limbo,0.2,26,82.35294117647058,0.038461538461538464,0.038461538461538464
ARC,ACDC,0.2,26,81.61094224924013,0.0,0.0
